Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
monday briefing: three us service members killed in jordan,1/28/2024,New York Times,2
"monday briefing: trump and nato; usher, taylor swift and beyoncé and the super bowl; lakewood church; kelvin kiptum",2/12/2024,Washington Post,2
monday briefing: two charged in moscow attack,3/24/2024,New York Times,2
monday briefing: ukraine steps up sabotage,12/31/2023,New York Times,2
monday briefing: us pushes for new hostage talks,1/21/2024,New York Times,2
monday briefing: us service members killed in jordan,1/28/2024,New York Times,2
monday briefing: us to push israel to scale back,12/17/2023,New York Times,2
monday briefing: videos from al-shifa hospital,11/19/2023,New York Times,2
monday briefing: what the terror attack means for russia,3/24/2024,New York Times,2
monday briefing: xi jinping visits europe,5/5/2024,New York Times,2
"money alone won’t protect federal networks, experts say",10/23/2023,Politico,2
"montgomery teacher denies hamas raid, accuses israel of organ theft",11/15/2023,Washington Post,2
"moody’s downgrades israel’s credit rating, citing toll of war",2/9/2024,New York Times,2
moral cowardice': rep auchincloss urges harvard to condemn students blaming israel for attacks,10/10/2023,Politico,2
moral surrender and magical thinking at another pointless gop debate,12/7/2023,New York Times,2
"more aid flows into gaza during cease-fire, but still falls far short of needs",11/25/2023,New York Times,2
"more aid trucks reached gaza this week, but nowhere near prewar figures, un data shows",3/7/2024,New York Times,2
more american hostages held by hamas should be released families say,11/30/2023,USATODAY,2
"more americans call volume of immigrants a ‘critical threat,’ poll finds",8/2/2024,Washington Post,2
more arrests and a canceled commencement as college antiwar rallies spread,4/25/2024,Washington Post,2
more arrests saturday as pro-palestinian protests embroil us colleges,4/26/2024,USATODAY,2
more democrats approve of biden's handling of lsrael-hamas war: poll,12/7/2023,Axios,2
more democrats warn biden about how israel is conducting response,10/29/2023,Washington Post,2
"more foreign nationals are reported killed, kidnapped or missing in israel",10/10/2023,New York Times,2
more gaza hostages released,11/28/2023,New York Times,2
more israeli hostages and palestinian prisoners are released under truce,11/30/2023,AP News,2
more middle east street talk,1/30/2024,Politico,2
"more palestinians fleeing combat zone in northern gaza, un says",11/8/2023,AP News,2
"more patients have died at a hospital israel raided, gazan officials say",2/22/2024,New York Times,2
more resignations over israel and ‘a failed policy’,5/7/2024,Politico,2
"more shelters, more problems",1/30/2024,Politico,2
"more than 10,000 killed in gaza, hamas-controlled health ministry says, as condemnation of israel’s campaign grows",11/9/2023,CNN,2
more than 100 arrested at columbia as police clear pro-palestinian protest,4/18/2024,Washington Post,2
more than 100 bodies found in israeli kibbutz be’eri after hamas attack,10/10/2023,CNN,2
"more than 100 killed amid israeli gunfire and panic at gaza food lines, palestinian officials and witnesses say",3/1/2024,CNN,2
more than 100 members of this gaza clan have been killed in war,12/17/2023,New York Times,2
more than 123k displaced in gaza after attack,10/8/2023,USATODAY,2
more than 140 people are still being held hostage in gaza,11/29/2023,New York Times,2
"more than 15 killed in dagestan, russia, as gunmen hit multiple sites",6/23/2024,Washington Post,2
"more than 180,000 demonstrators march in france against antisemitism",11/13/2023,CNN,2
"more than 180,000 people across france march against soaring antisemitism amid the israel-hamas war",11/13/2023,AP News,2
"more than 2,100 people have been arrested during pro-palestinian protests on us college campuses",5/2/2024,AP News,2
more than 20 americans were killed in israel here’s what we know so far,10/12/2023,Washington Post,2
more than 20 progressive groups form a coalition to counter pro-israel groups before the election,3/11/2024,AP News,2
"more than 20,000 dead in gaza, as un calls for fighting pause and aid",12/22/2023,Washington Post,2
more than 200 palestinians killed in israeli hostage raid in gaza,6/8/2024,Washington Post,2
"more than 29,000 palestinians have been killed in israel-hamas war, gaza health ministry says",2/19/2024,AP News,2
"more than 3,600 palestinian children were killed in just 3 weeks of war",11/2/2023,AP News,2
"more than 30,000 killed in gaza since israel-hamas war began, health ministry says",2/29/2024,CNN,2
"more than 300 americans have left gaza, national security adviser jon finer says",11/5/2023,Axios,2
more than 300 are arrested in a capitol hill protest urging a cease-fire in the israel-hamas war,10/19/2023,AP News,2
more than 300 arrested on capitol hill,10/19/2023,USATODAY,2
"more than 300 bodies found in mass grave at gaza hospital, says gaza civil defense",4/23/2024,CNN,2
"more than 40,000 killed in israel’s war in gaza, health ministry says",8/15/2024,Washington Post,2
more than 50 arrested for protesting israel-gaza war in senate offices,11/3/2023,Washington Post,2
"more than 50 people killed or missing in israeli strikes on central gaza, local officials say",6/22/2024,CNN,2
more than 500 us officials sign letter protesting biden’s israel policy,11/14/2023,New York Times,2
more than 80 nations back talks to ease path to peace in ukraine,6/16/2024,New York Times,2
"more than 80 protesters arrested at virginia tech, school says",4/29/2024,Washington Post,2
more than a dozen arrests as pro-palestinian protesters occupy stanford university president’s office,6/5/2024,CNN,2
"more than a fifth of hostages in gaza are dead, israel says",2/6/2024,New York Times,2
"more than a fifth of remaining hostages in gaza are dead, israel finds",2/6/2024,New York Times,2
"more than a fifth of remaining hostages in gaza are dead, israel finds",2/6/2024,New York Times,2
"more us ships head toward israel and 2,000 troops are on heightened alert a look at us assistance",10/17/2023,AP News,2
morning briefing: the fallout of trump’s false claims,9/15/2024,New York Times,2
"mosab abu toha, lauded poet published by the new yorker, arrested in gaza",11/20/2023,Washington Post,2
"moscow rampage reveals ambition, deadly reach of isis successor groups",3/25/2024,Washington Post,2
mossad chief heading to qatar to discuss final details of hostage deal,11/22/2023,Axios,2
mossad chief visits qatar for talks on hostages held by hamas in gaza,10/30/2023,Axios,2
"most americans oppose sending us troops to defend israel, poll finds",8/6/2024,Washington Post,2
most israelis rate military’s campaign in gaza ‘about right’ or not enough,5/30/2024,Washington Post,2
"mourners gather in nir oz, a symbol of israel’s security failures",10/7/2024,New York Times,2
msc cancels months of cruises amid israel-hamas war,10/24/2023,USATODAY,2
mtg has no following,5/1/2024,Washington Post,2
"muhammad deif, a top hamas commander, is dead, israel says",8/1/2024,New York Times,2
munis mull cease-fire calls,2/21/2024,Politico,2
musk-meloni event roils prominent dc think tank,9/19/2024,Politico,2
"muslim american leaders, in private meeting, tell biden he needs to show more empathy toward palestinians",10/27/2023,CNN,2
"muslim americans helped biden win michigan in 2020 now, his israel-gaza response is throwing their support into question",11/4/2023,CNN,2
muslim leader walks out of ramadan meeting with biden in war protest,4/3/2024,USATODAY,2
muslim leaders criticize biden over his palestinian death toll remarks in private meeting,10/27/2023,Politico,2
muslim leaders decline white house ramadan invitation,4/2/2024,Washington Post,2
"mystery dog illness, israel-hamas, thanksgiving travel: tuesday's news",11/21/2023,USATODAY,2
naacp asks biden to halt weapons to israel,6/6/2024,USATODAY,2
naacp calls on biden to halt arms deliveries to israel,6/6/2024,New York Times,2
names written on children’s bodies speak to the fears of gazan parents amid the israel-hamas war,10/23/2023,CNN,2
"nancy mace, elections, hunter biden, ai, apple, israel-hamas war, paris olympics",6/11/2024,USATODAY,2
nancy pelosi interrupted by pro-palestinian protesters on ‘the late show’: best of late night,8/21/2024,New York Times,2
"national book awards: winners, author statement on israel war, more",11/16/2023,USATODAY,2
national security adviser defends israel’s efforts to defeat hamas,10/29/2023,Politico,2
"nations overwhelmingly vote for humanitarian truce at the un, as gazans say they have been ‘left in the dark’",10/27/2023,CNN,2
nato ministers vow to maintain support for ukraine,11/29/2023,New York Times,2
nato oh noes,4/19/2024,Politico,2
navalny death stuns munich,2/17/2024,Politico,2
"navigating israeli restrictions, many palestinians find it hard to reach al aqsa",3/11/2024,New York Times,2
nba superstar lebron james calls hamas attacks on israel ‘tragic and unacceptable’,10/12/2023,CNN,2
"nearly 100 killed in israeli strike on school, gaza officials say",8/10/2024,Washington Post,2
"nearly 2 months into the war, many israelis have no idea if their relatives are dead or alive",12/1/2023,AP News,2
"nearly half a million people flee fighting in rafah and northern gaza, un says",5/13/2024,AP News,2
"nearly half of democrats disapprove of biden’s response to the israel-hamas war, ap-norc poll shows",11/9/2023,AP News,2
"nearly two dozen americans have been killed in israel-gaza war, us says",1/23/2024,Washington Post,2
"needing labor, israel recruits workers from south asia",12/30/2023,New York Times,2
"negotiations to free hostages held by hamas are closer than ‘perhaps any point,’ white house official says",11/19/2023,CNN,2
negotiators close in on hostage deal that would halt fighting in gaza for weeks,1/27/2024,New York Times,2
negotiators meet to revive push for hostage release and cease-fire in gaza,7/28/2024,New York Times,2
negotiators nearing a deal for initial release of dozens of hostages held by hamas,11/19/2023,CNN,2
negotiators push to extend pause in gaza fighting as hostage return continues,11/28/2023,Washington Post,2
negotiators race to secure israel-hamas hostage and ceasefire deal ahead of ramadan,2/21/2024,CNN,2
neither israel nor hamas has formally embraced the plan adopted by the security council,6/10/2024,New York Times,2
"nell mccafferty, larger-than-life irish journalist, dies at 80",9/6/2024,New York Times,2
"nelson demille, best-selling suspense novelist, dies at 81",9/19/2024,Washington Post,2
nelson mandela’s support for palestinians endures with south africa’s genocide case against israel,1/11/2024,AP News,2
nepal’s president asks visiting qatari emir to help free student held hostage by hamas,4/24/2024,AP News,2
nervous democrats press biden on gaza ahead of state of the union,3/7/2024,New York Times,2
netanya-who? washington gives israeli leader the cold shoulder,7/23/2024,Politico,2
"netanyah u seeks support in us visit, but will find a nation distracted",7/23/2024,New York Times,2
netanyahu accepts congress‘ invitation to speak despite blowback,6/1/2024,Politico,2
"netanyahu accuses biden of delaying weapons, but us insists arms are flowing",6/18/2024,AP News,2
netanyahu address to congress: why dozens of democrats are skipping,7/24/2024,USATODAY,2
netanyahu addresses congress and vows to achieve ‘total victory’,7/25/2024,AP News,2
"netanyahu addresses senate gop, pledges to continue war in gaza",3/20/2024,USATODAY,2
netanyahu after blinken meeting: no temporary ceasefire in gaza without hostage release,11/3/2023,Axios,2
netanyahu again rejects palestinian sovereignty amid fresh us push for two-state solution,1/21/2024,CNN,2
netanyahu agrees to send israeli officials to washington to discuss prospective rafah operation,3/19/2024,AP News,2
netanyahu and hamas depended on each other both may be on the way out,11/26/2023,Washington Post,2
"netanyahu and putin speak, and offer different versions of what was said",12/10/2023,New York Times,2
netanyahu apologized for aid worker deaths,4/2/2024,New York Times,2
netanyahu apologizes after blaming security chiefs for failure in hamas attack,10/29/2023,New York Times,2
netanyahu appears to rebuff us on “humanitarian pauses”,11/3/2023,New York Times,2
netanyahu asks for plans to evacuate rafah,2/9/2024,USATODAY,2
netanyahu asserts israel’s right to fight its enemies in defiant speech,5/6/2024,New York Times,2
netanyahu authorizes negotiators to enter detailed talks for ceasefire deal with hamas,7/4/2024,CNN,2
netanyahu blasts biden admin for rejecting gop effort to sanction icc,5/29/2024,Politico,2
netanyahu blasts sen schumer,3/17/2024,USATODAY,2
"netanyahu brushes off calls for restraint, saying israel will decide how to respond to iran’s attack",4/17/2024,AP News,2
"netanyahu calls for ‘pressure, pressure and more pressure’ on hamas",7/17/2024,New York Times,2
netanyahu calls hamas’s demands ‘ludicrous’ and proceeds with plans for a ground invasion in rafah,3/15/2024,New York Times,2
netanyahu calls out dem critics and protesters in speech to congress,7/24/2024,USATODAY,2
netanyahu calls rafah strike ‘tragic mistake’ amid global outcry,5/27/2024,Politico,2
netanyahu calls student protests antisemitic and says they must be quelled,4/24/2024,New York Times,2
netanyahu cancels delegation after us does not block un cease-fire call,3/25/2024,Washington Post,2
netanyahu cancels meetings with biden officials over un ceasefire vote,3/25/2024,Axios,2
"netanyahu cancels us-israel meetings on rafah, to protest un resolution",3/25/2024,New York Times,2
netanyahu cautious of a different battle at home,1/2/2024,Politico,2
"netanyahu clashes with defense minister on gaza, exposing schisms",8/12/2024,New York Times,2
netanyahu clings precariously to power with hostage deal in the balance,2/8/2024,Washington Post,2
netanyahu comes to washington as biden withdraws from presidential race,7/21/2024,Washington Post,2
"netanyahu concerned harris' comments may harm hostage and ceasefire deal, officials say",7/26/2024,Axios,2
"netanyahu corruption trial resumes, adding to israeli leader’s challenges",12/4/2023,New York Times,2
"netanyahu corruption trial resumes, as war rages on",12/4/2023,CNN,2
netanyahu critics mobilize in israel,3/31/2024,Axios,2
netanyahu declines to send israeli delegation to egypt for more hostage talks,2/14/2024,Axios,2
netanyahu defends decision to go public with complaint about us weapons supplies,6/23/2024,CNN,2
netanyahu defends gaza assault as us warns about fighting near hospitals,11/12/2023,Washington Post,2
netanyahu defends gaza war to cheers in congress as protests held outside,7/24/2024,Axios,2
"netanyahu defends gaza war to congress amid lawmaker boycott, protests",7/25/2024,Axios,2
netanyahu defends planned assault on rafah,3/11/2024,USATODAY,2
netanyahu delivers a forceful defense of israel to applause in congress,7/24/2024,New York Times,2
netanyahu directs israeli military to draw up plan to evacuate more than one million people from rafah as offensive looms,2/9/2024,CNN,2
netanyahu dismisses a hamas counteroffer on a cease-fire,2/7/2024,New York Times,2
"netanyahu dismisses cease-fire proposal, angering hostage families",6/24/2024,Washington Post,2
"netanyahu dismisses critics, scolds protesters in defiant speech to congress",7/24/2024,Washington Post,2
netanyahu dismisses hamas’s latest proposal on a cease-fire as insincere,5/7/2024,New York Times,2
"netanyahu dismisses hezbollah cease-fire push, confounding white house",9/26/2024,Washington Post,2
netanyahu dissolved his war cabinet how will that affect cease-fire efforts?,6/18/2024,AP News,2
netanyahu dissolves influential war cabinet after key partner bolted from government,6/17/2024,AP News,2
netanyahu dissolves war cabinet but plans to keep far right sidelined,6/17/2024,Washington Post,2
"netanyahu dissolves war cabinet that directed gaza conflict, israeli officials say",6/17/2024,AP News,2
"netanyahu does back cease-fire plan, us says",6/5/2024,USATODAY,2
netanyahu doubles down on complaints about the supply of us munitions,6/23/2024,New York Times,2
netanyahu faces pressure from all sides as hostage deal hopes rise,1/31/2024,CNN,2
netanyahu fends off criticism at home and abroad over his lack of a postwar plan for gaza,5/15/2024,AP News,2
netanyahu finds himself at war in gaza and at home,10/29/2023,New York Times,2
netanyahu forms unity government as war intensifies,10/11/2023,New York Times,2
netanyahu frequently makes claims of antisemitism critics say he’s deflecting from his own problems,5/29/2024,AP News,2
netanyahu goes to washington in the shadow of middle east disaster,7/22/2024,Washington Post,2
"netanyahu has ‘abandoned’ israel’s captive soldiers, their relatives say",3/28/2024,New York Times,2
"netanyahu has recently signaled hope on cease-fire talks, but there are major stumbling blocks",7/24/2024,New York Times,2
"netanyahu has sidestepped accountability for failing to prevent hamas attack, instead blaming others",11/2/2023,AP News,2
"netanyahu in ‘excellent’ health after hernia surgery, hospital says",3/31/2024,CNN,2
netanyahu indicates israel plans to control gaza after hamas war ends,11/7/2023,USATODAY,2
netanyahu insists israel will defend itself even if ‘forced to stand alone’,5/6/2024,CNN,2
"netanyahu is ‘an exceptionally difficult partner,’ chris coons says",12/17/2023,Politico,2
netanyahu is in washington at a fraught time for israel and the us what to know about his visit,7/24/2024,AP News,2
netanyahu is said to consider firing israel’s defense minister,9/17/2024,New York Times,2
netanyahu is sorry/not sorry for the killings in rafah,5/28/2024,New York Times,2
netanyahu issues first plan for postwar gaza,2/23/2024,New York Times,2
netanyahu labels critics of war in gaza ‘iran’s useful idiots’ in speech to congress,7/24/2024,CNN,2
"netanyahu leaned on his top rival to help unify israel now, benny gantz is more popular",3/4/2024,AP News,2
netanyahu may be forced to choose between a cease-fire and his government’s survival,6/2/2024,New York Times,2
netanyahu may be forced to choose between his government’s survival and a ceasefire deal,6/3/2024,CNN,2
netanyahu may face a choice between a truce and his government’s survival,6/2/2024,New York Times,2
"netanyahu may face little risk from a rival’s political ultimatum, analysts say",5/19/2024,New York Times,2
netanyahu meets with biden as cease-fire talks face delays,7/25/2024,AP News,2
netanyahu meets with families of israeli hostages,12/19/2023,New York Times,2
"netanyahu meets with trump at mar-a-lago, offering measured optimism on a gaza cease-fire",7/26/2024,AP News,2
"netanyahu must be removed, top former israeli national security officials say",1/26/2024,CNN,2
netanyahu opted for limited strikes in the past this is his first all-out war,10/17/2023,New York Times,2
netanyahu presents hard-line ‘day after’ vision for gaza for the first time,2/23/2024,Washington Post,2
netanyahu presents post-war gaza security plan as israel joins paris talks,2/23/2024,Washington Post,2
"netanyahu preventing victory over hamas, gantz says as he exits coalition",6/13/2024,Axios,2
netanyahu protested to the white house about us sanctions on israeli settlers,7/26/2024,Axios,2
netanyahu provoking crisis with white house for domestic politics: us officials,3/25/2024,Axios,2
netanyahu refuses to answer cnn on whether he would take responsibility for october 7 attack,11/12/2023,CNN,2
netanyahu rejects 2 key hamas demands for any cease-fire,1/30/2024,AP News,2
netanyahu rejects biden criticism of policies,3/10/2024,USATODAY,2
netanyahu rejects biden's pause,11/6/2023,USATODAY,2
netanyahu rejects biden’s rebuke and vows to press on with rafah operation,3/10/2024,New York Times,2
"netanyahu rejects cease-fire, vows to continue war as blinken visits israel",2/7/2024,Washington Post,2
netanyahu rejects growing calls for a cease-fire as israel battles hamas outside main gaza hospital,11/11/2023,AP News,2
"netanyahu rejects hamas cease-fire proposal; us strike kills militia leader in iraq, officials say",2/7/2024,Washington Post,2
netanyahu rejects hamas truce plan after his meeting with top us diplomat,2/7/2024,AP News,2
netanyahu rejects militants' cease-fire,2/7/2024,USATODAY,2
netanyahu rejects report citing top israeli generals as wanting a ceasefire in gaza with hamas still in power,7/2/2024,CNN,2
"netanyahu remarks could damage gaza hostage-ceasefire deal, israeli officials say",6/3/2024,Axios,2
netanyahu requested meeting with trump this week during us visit,7/22/2024,Politico,2
"netanyahu returns to dc for three-day visit, speech to congress",7/22/2024,Axios,2
netanyahu reverses on key israeli concession in ceasefire talks,7/12/2024,CNN,2
"netanyahu rival, kamala harris meet",3/4/2024,USATODAY,2
netanyahu says ‘no way’ to eliminate hamas without rafah operation,3/19/2024,Washington Post,2
netanyahu says a cease-fire deal would only delay ‘somewhat’ an israeli military offensive in rafah,2/25/2024,AP News,2
netanyahu says criminal charges 'new antisemitism',5/21/2024,USATODAY,2
netanyahu says deadly israeli strike in rafah was the result of a ‘tragic mishap’,5/28/2024,AP News,2
"netanyahu says gaza war on hamas will go on for ‘many more months,’ thanks us for new weapons sales",12/30/2023,AP News,2
netanyahu says hamas militants surrendering,12/10/2023,USATODAY,2
netanyahu says hamas’ demands on hostage and ceasefire deal are ‘delusional’,2/8/2024,CNN,2
"netanyahu says he didn’t know about plans to pause fighting, but analysts say he probably approved them",6/16/2024,New York Times,2
netanyahu says he opposes palestinian authority's return to post-war gaza,11/11/2023,Axios,2
"netanyahu says he sees no role for the palestinian authority in gaza, for now",11/12/2023,New York Times,2
netanyahu says he told the us that he opposes a palestinian state in any postwar scenario,1/19/2024,AP News,2
netanyahu says he will only accept a partial cease-fire deal that would not end the war,6/24/2024,AP News,2
"netanyahu says he won’t agree to a deal that ends the war in gaza, testing the latest truce proposal",6/25/2024,AP News,2
netanyahu says he won’t bow to pressure to call off rafah invasion,2/17/2024,New York Times,2
netanyahu says he's committed to hostage-ceasefire deal after casting doubt,6/24/2024,Axios,2
netanyahu says he’s trying everything to get more aid to gaza aid groups say that’s not true,3/18/2024,CNN,2
"netanyahu says hostage deal would delay, but not stop rafah invasion",2/25/2024,New York Times,2
netanyahu says israel ‘will not succumb’ to pressure to stop war in gaza,3/17/2024,Washington Post,2
netanyahu says israel advancing to ‘end of the stage of eliminating’ hamas’ army in gaza,7/1/2024,CNN,2
netanyahu says israel hostage deal will delay rafah operation,2/25/2024,Axios,2
netanyahu says israel is ‘at war’ after hamas launches surprise air and ground attack from gaza,10/7/2023,CNN,2
netanyahu says israel is as ‘committed as ever’ to war after soldiers mistakenly killed 3 hostages,12/16/2023,AP News,2
netanyahu says israel is winding down its gaza operations but he warns a lebanon war could be next,6/24/2024,AP News,2
netanyahu says israel must retain control of security in gaza after the war,12/6/2023,AP News,2
netanyahu says israel will attack rafah with or without ceasefire,4/30/2024,USATODAY,2
netanyahu says israel will decide how to respond as iran warns against retaliation,4/18/2024,AP News,2
netanyahu says israel will return to table for cease-fire talks with hamas,3/29/2024,AP News,2
"netanyahu says israel won't give into hamas' ""delusional"" hostage deal demands",2/7/2024,Axios,2
netanyahu says israel’s war plans ‘have not changed’,6/1/2024,New York Times,2
netanyahu says israel’s wartime moves are ‘not dictated by external pressure’,12/24/2023,New York Times,2
netanyahu says no agreement yet on cease-fire proposal,6/3/2024,Washington Post,2
"netanyahu says no deal yet on gaza cease-fire, remains bullish on rafah operation",2/25/2024,Politico,2
"netanyahu says no gaza ceasefire until israel’s war aims are achieved, raising questions over biden peace proposal",6/1/2024,CNN,2
netanyahu says the gaza war has entered a new stage and will be ‘long and difficult’,10/29/2023,AP News,2
"netanyahu says the war’s intensive phase is nearing an end, but fighting will continue",6/23/2024,New York Times,2
netanyahu scrambles to contain backlash to comments on ceasefire deal as hostage families release new video,6/24/2024,CNN,2
netanyahu seeks open-ended control over security and civilian affairs in gaza in new postwar plan,2/23/2024,AP News,2
"netanyahu signals cease-fire deal could be shaping up as deaths top 39,000",7/23/2024,AP News,2
netanyahu slams gallant for questioning the goal of ‘total victory’ in gaza,8/12/2024,New York Times,2
netanyahu snaps back against growing us criticism after being accused of losing his way on gaza,3/17/2024,AP News,2
netanyahu spurns hamas offer for gaza cease-fire,2/7/2024,New York Times,2
netanyahu stands firm on cease-fire terms amid growing outrage in israel,9/2/2024,New York Times,2
netanyahu stands firm on cease-fire terms amid growing outrage in israel,9/3/2024,New York Times,2
netanyahu still wants more war,9/4/2024,Washington Post,2
netanyahu strains to keep government together amid spreading rebellions,6/4/2024,Washington Post,2
netanyahu suggests cease-fire talks are at a dead end as a rafah invasion looms,2/17/2024,New York Times,2
netanyahu suspends a minister who said that dropping a nuclear bomb on gaza was an option,11/5/2023,New York Times,2
netanyahu takes the first questions about his responsibility in the oct 7 attacks,10/28/2023,New York Times,2
netanyahu tells biden he's worried about possible icc arrest warrants,4/29/2024,Axios,2
"netanyahu tells biden: ""israel will win"" after declaring war on hamas",10/7/2023,Axios,2
netanyahu tells cnn schumer’s call for israel election was ‘totally inappropriate’,3/17/2024,CNN,2
"netanyahu thanks us for new military aid, vows to escalate in gaza",4/21/2024,Washington Post,2
netanyahu thinks joe biden is already a lame duck,7/21/2024,Politico,2
netanyahu to address a congress deeply divided over his leadership,7/24/2024,New York Times,2
"netanyahu to address congress, showcasing us partisan divide",7/23/2024,Washington Post,2
netanyahu to schumer: ‘we’re not a banana republic’,3/17/2024,New York Times,2
netanyahu to send delegation to dc to discuss rafah invasion alternatives,3/18/2024,Axios,2
netanyahu to send israeli team to washington to discuss ra fah plans,3/18/2024,New York Times,2
netanyahu to shutter israeli al jazeera bureau after government passes new law,4/1/2024,Axios,2
netanyahu told biden in private phone call he was not foreclosing the possibility of a palestinian state in any form,1/20/2024,CNN,2
netanyahu touts ‘initiative’ to free hostages in gaza as pressure mounts,1/22/2024,CNN,2
netanyahu under pressure from hostages’ families and cabinet as gaza operation escalates,10/29/2023,CNN,2
netanyahu undergoes hernia surgery amid mounting pressure on his government,3/31/2024,New York Times,2
netanyahu unveils plan for gaza’s future post-hamas,2/23/2024,CNN,2
netanyahu uses holocaust ceremony to brush off international pressure against gaza offensive,5/5/2024,AP News,2
"netanyahu visit to us hit with protest at the watergate, congress",7/24/2024,USATODAY,2
"netanyahu visit, speech to congress spark protests of thousands",7/24/2024,USATODAY,2
netanyahu visits gaza as palestinians mourn an attack that officials say killed dozens,12/25/2023,New York Times,2
netanyahu visits israeli troops in gaza and vows to continue war despite cease-fire calls,12/25/2023,Axios,2
"netanyahu visits trump, says israel is eager to reach a cease-fire deal",7/26/2024,AP News,2
netanyahu vows ‘severe’ response to deadly rocket attack tied to hezbollah,7/30/2024,New York Times,2
netanyahu vows ‘whatever action is necessary’ as hezbollah clash widens,9/22/2024,Washington Post,2
netanyahu vows retaliation against hezbollah after weekend strike as us warns against escalation,7/30/2024,AP News,2
"netanyahu vows to carry out rafah invasion, which us says would be a mistake",4/8/2024,AP News,2
"netanyahu vows to continue hezbollah war, defying us cease-fire plan",9/27/2024,Washington Post,2
netanyahu vows to invade rafah ‘with or without a deal’ as cease-fire talks with hamas continue,4/30/2024,AP News,2
netanyahu vows to invade rafah ‘with or without’ cease-fire deal,4/30/2024,New York Times,2
netanyahu vows to invade rafah regardless of cease-fire deal,4/30/2024,Washington Post,2
netanyahu vows to press 'until victory',12/13/2023,USATODAY,2
"netanyahu vows war against hamas will go on for months, until ‘absolute victory’",12/30/2023,New York Times,2
netanyahu walks back proposal for gaza hostage-ceasefire deal endorsed by biden,6/24/2024,Axios,2
netanyahu warns israel will invade rafah if hamas doesn't take hostage deal,5/1/2024,Axios,2
netanyahu will have a mostly gop audience today,7/24/2024,Washington Post,2
netanyahu will make speech to congress as optimism for a ceasefire in gaza rises,7/23/2024,CNN,2
"netanyahu will meet with biden, harris and trump, and other news",7/23/2024,New York Times,2
netanyahu won't agree to cease-fire,10/30/2023,USATODAY,2
netanyahu wraps us visit with a meeting to woo trump,7/26/2024,Politico,2
"netanyahu, biden: israel sends negotiators for hostage deal with hamas",7/4/2024,USATODAY,2
"netanyahu, defiant, appears to have gone rogue, risking a regional war",8/2/2024,New York Times,2
"netanyahu, delayed by israel’s new assault on hezbollah, faces broad censure from gathered leaders",9/24/2024,New York Times,2
"netanyahu, ignoring allies and defying critics, basks in a rare triumph",9/29/2024,New York Times,2
"netanyahu, who clashed with biden, prepares for a delicate farewell",7/22/2024,New York Times,2
netanyahu: gaza deal must let israel resume fighting until goals met,7/7/2024,USATODAY,2
netanyahu: israeli ground invasion ‘the one thing’ that might lead to a hostage deal,11/12/2023,Politico,2
netanyahu’s apparent rejection of a post-war palestinian state adds to tensions with biden administration,1/18/2024,CNN,2
netanyahu’s bind: compromise in gaza or power at home,2/1/2024,New York Times,2
"netanyahu's ceasefire doublespeak: dovish with us, hawkish with negotiators",8/19/2024,Axios,2
"netanyahu’s coalition ‘may be in jeopardy,’ intelligence report says",3/11/2024,New York Times,2
"netanyahu’s conflicting messages confuse cease-fire talks, officials say",9/4/2024,Washington Post,2
netanyahu’s decision to cancel rafah meetings causes new rupture with biden,3/25/2024,CNN,2
"netanyahu’s delusional, deadly quest for ‘total victory’",2/9/2024,Washington Post,2
netanyahu’s far-right partners reject cease-fire compromise,6/3/2024,New York Times,2
netanyahu’s growing rift with israel’s military raises questions about gaza war’s future,6/20/2024,New York Times,2
netanyahu’s icy washington welcome,7/23/2024,Politico,2
"netanyahu’s mission: destroy hamas, bring hostages home – and get reelected",12/20/2023,CNN,2
netanyahu’s pledge to invade rafah could undermine efforts to reach a cease-fire deal,4/30/2024,New York Times,2
netanyahu’s response to schumer widens rift in us-israeli relations,3/18/2024,CNN,2
netanyahu's retaliation against biden aggravates rift with pro-israel democrats,3/25/2024,Axios,2
netanyahu’s split with biden and the democrats was years in the making,5/26/2024,Washington Post,2
netanyahu’s top rival left israel’s war cabinet how does that affect the prime minister and gaza?,6/12/2024,AP News,2
netanyahu’s upcoming congress speech is further dividing dems,7/19/2024,Politico,2
"netanyahu's us speech sparks massive protests across dc, resulting in several arrests",7/25/2024,Axios,2
"netanyahu’s us visit revealed ‘no workable plan’ for peace, critics say",7/27/2024,Washington Post,2
netanyahu’s visit to the us could be crucial to a ceasefire deal but does he want one?,7/23/2024,CNN,2
"nevada man accused of sending threatening, antisemitic messages to senator",10/31/2023,Washington Post,2
new aid package brings us assistance to gaza during the war to $180 million,2/27/2024,New York Times,2
"new cease-fire proposal circulates at un, driven by outrage over israel’s strike on a tent camp",5/29/2024,New York Times,2
new cease-fire talks begin friday,2/22/2024,USATODAY,2
new danger for ukraine: taking israel’s side in war against hamas and gaza,10/29/2023,Washington Post,2
new gaza cease-fire proposal puts spotlight on hamas leader yahya sinwar,6/11/2024,New York Times,2
